score,text,critic,date,title,platform
60,"With a lackluster story, slow gameplay, and dated graphics, perhaps 9 Monkeys of Shaolin should have trained with the Shaolin monks a little bit longer before it was released.",Noisy Pixel,"Oct 16, 2020",9 Monkeys of Shaolin,Switch
40,"Unfortunately, even getting through the game once can be a struggle, as 9 Monkeys of Shaolin is plagued by technical issues - at least when it comes to the Nintendo Switch version. The game crashed on numerous occasions during our time with it, and there was one stage in particular where enemies kept glitching off the screen and we were forced to restart to the level repeatedly.",Game Rant,"Oct 15, 2020",9 Monkeys of Shaolin,Switch
80,"911 Operator is a joy to play, and you'll want it to go on for longer. It's not perfect, though - satisfying pay-offs to stories are absent, and it would be great to be able to purchase new resources during a level.",Switch Player,"Nov  8, 2018",911 Operator,Switch
75,"If you’re the kind of person who wants to get a taste for what it’s like to be a emergency dispatcher, that kind of setup will appeal to you.",Gaming Age,"Apr 26, 2019",911 Operator,Switch
75,"Having only heard about 911 Operator before, it is a nice fit for the Switch with its nice use of HD Rumble feedback and with how good the port is. The game itself starts feeling repetitive after a few hours but if you’re a fan of games that test you with tension and quick actions, this is definitely one to look into. As a simulation experience, it does its job very well and the Switch port is great.",God is a Geek,"Jan  9, 2019",911 Operator,Switch
70,"Those looking for a big investment of gaming will probably do best to avoid this title. But those after a nice palette cleanser, I recommend 911 Operator. It’s not going to light the world on fire, but is a decently-crafted little time sink that works well on the Switch. If you’re looking for something to do in-between catching Pokémon and settling it in Smash, 911 Operator is a nice buffer title to call on.",DarkStation,"Dec 19, 2018",911 Operator,Switch
60,"911 Operator is fun little title, but you have to get past a lot of repetition. The difficulty can be a little harsh too when you don’t understand everything that’s going on. I lost quite a few units at the beginning of the game as I didn’t know what I was sending my police officers into. By the end, though, I was flying through the scenarios with ease. You could comfortably finish the game in a few hours, but for such a budget title I think that is reasonable. If you fancy challenging your mind for a few hours with something that isn’t too frenetic, then you might want to give this a go.",Nintendo Enthusiast,"Oct 30, 2018",911 Operator,Switch
45,"911 Operator really misses the mark. It’s a good attempt at showing what a 911 operator may do, but you’re effectively playing a mobile game on the Switch for the cost of a PC game. That $22 price point is a bit excessive, especially since various bugs and quality-of-life issues you’ll get are really frustrating to deal with on the Switch.",GamingTrend,"May  8, 2020",911 Operator,Switch
80,"911 Operator Deluxe Edition is a stress-filled management game, that requires you to strategically think through simulated emergency scenarios. This game’s tension makes up for the lack of physical gameplay. If you’re looking for a tense and educational experience, try out this game.",Pure Nintendo,"Jun  1, 2020",911 Operator: Deluxe Edition,Switch
65,"911 Operator Deluxe Edition comes packed with content. It suffers from fiddly controls, which hamper your success rate, but the audio work is good, and there is tonnes of detail to pore over.",God is a Geek,"May 18, 2020",911 Operator: Deluxe Edition,Switch
70,"99Vidas - Definitive Edition takes inside jokes and gaming references and transforms them into a classic beat 'em up experience. Despite becoming a bit monotonous with time, it has plenty of content that can be enjoyed with friends.",Switch Player,"Dec  3, 2018",99Vidas: Definitive Edition,Switch
60,"99Vidas is a beat'em up that's competent at following the genre's conventions and which exhibits an interesting art style and soundtrack. Regardless of that, there are several elements which harm the game's experience, including some frustrating gameplay elements and a feeling of repetitiveness which make 99Vidas less enjoyable on single player modes.",FNintendo,"Jan  2, 2019",99Vidas: Definitive Edition,Switch
90,"The Switch port appears to be more or less the same as other HD ports, essentially just taking the Wii game and making it work on a new platform and match up to the visual standards. While I’d love to see the veritable all-star team of developers (some are still at WayForward; others went to found Yacht Club Games and Tic Toc Games) that worked on the original Wii release come back for more Blob content, I’m happy that a great Wii game still lives on modern consoles. Whether you first played this on Wii in 2009 or have never touched it before, A Boy And His Blob is well worth checking out. Just remember to press the hug button to brighten your day when needed.",NintendoWorldReport,"Nov  9, 2021",A Boy and His Blob,Switch
85,"Satisfactory puzzle-platformers are many on the Nintendo Switch. But the transformative and unique A Boy and his Blob, while easy, rises well above most of the competition. Time has been kind to this game, both in presentation (graphically and musically) and general design. If you haven’t had your fill of it yet, add this one to your Switch collection.",Pure Nintendo,"Nov 18, 2021",A Boy and His Blob,Switch
80,"A Boy and His Blob hasn’t changed since its release back in 2009, but it’s still well worth checking out if you’re after a decent puzzle platformer. The visuals still look incredible after all these years, with spectacular animation to boot. Some aspects of the game feel a bit outdated by comparison, with the inability to map certain abilities being a key culprit. Nevertheless it remains a fun, breezy experience, and one that the younger generation of gamers in particular will adore.",Nintendo Life,"Nov 14, 2021",A Boy and His Blob,Switch
70,"The 2D side-scrolling adventure is a far cry from the original NES version, which was known to be not kind to new players. The lack of tutorial, control explanation and random game crashes fail to detract too much from the overall charm of A Boy and His Blob which is a heart-warming tale of friendship, cooperation, and puzzle-solving. Game completion time will head into double digits especially if completionists want to collect all the treasure, or if player skill level for puzzles and platforming is not at expert proficiency.",Cubed3,"Feb 21, 2022",A Boy and His Blob,Switch
85,"A Case of Distrust is a really fun adventure game/visual novel. It has a solid, if telegraphed, mystery and a unique cast of characters. It succeeds in capturing Roaring Twenties San Francisco and the evolving social mores of the interwar period. Its style is captivating, and positively contributes to gameplay. This is a strong recommendation for anyone who loves a good murder mystery.",NintendoWorldReport,"Oct  1, 2018",A Case of Distrust,Switch
60,"Despite its seemingly sober premise, it turns out to be quite dynamic visually and becomes a successful black novel that deals with racial and feminist topics, although it would have been appreciated to have a better management of the notebook and a better use of the the control scheme.",Nintenderos,"Oct  7, 2018",A Case of Distrust,Switch
80,"A Dark Room succeeds because just when a part of the game gets familiar, it switches gears. The game keeps pushing you to explore, but why? In most other games, exploration is simply something you do because… well, it’s a game! You’re supposed to explore! But as A Dark Room hints more secretive reasons for your actions, you might wonder if you ever really had a choice at all.",Pure Nintendo,"May 31, 2019",A Dark Room,Switch
80,"Overall this game is not very enjoyable for long stretches, but is at least playable after an adjustment period. For the price of $9.99 that it is marked on the Nintendo eShop, I personally would not suggest it, but if it is ever on sale or if you feel that it is exactly the type of game you would like, it is not the worst way to spend your money.",NintendoWorldReport,"Sep 13, 2019",A Duel Hand Disaster: Trackher,Switch
75,"A Duel Hand Disaster: Trackher is a fun little title that brings some unique concepts to the table. While at first the game seems overly complicated, once you get a feel for it, these mechanics mesh together for a surprisingly fun, innovative, well-crafted experience.",Nintendo Enthusiast,"Jul  8, 2019",A Duel Hand Disaster: Trackher,Switch
70,"Considering its reasonable price, A Duel Hand Disaster: Trackher is a decent arcade title that introduces a unique spin on the genre. It’s got a good amount of depth, looks the part, and has a pretty funky soundtrack to boot. We can’t stress this enough, though – if you’re thinking of picking it up, do yourself a favour and watch the tutorial first.",Nintendo Life,"Sep  8, 2019",A Duel Hand Disaster: Trackher,Switch
70,"A Duel Hand Disaster: Trackher is a unique twist on the standard split-screen formula, offering players a chance to solo the experience. Testing your multi-tasking skills is great, although it may be too hard for some people. The separate yet connected gameplay design kept me engaged, even if some of the extra challenges were a pain to deal with.",GamingTrend,"Jul 30, 2019",A Duel Hand Disaster: Trackher,Switch
60,"A Duel Hand Disaster: Trackher is an inventive idea that will likely leave you cross-eyed but mostly smiling. The penalty for failure feels a bit much but those up to the challenge will enjoy having their dexterity, observation, and patience tested like never before.",Screen Rant,"Aug  1, 2019",A Duel Hand Disaster: Trackher,Switch
20,"Despite its cheap price tag of US$5.OO, it remains hard to recommend due to its non-intuitive nature without a tutorial. I’d highly suggest that AskAnEnemyStudios considers adding a tutorial section if they want more people to take this game on Switch seriously. Personally, I don’t see the game being worth anyone’s hard-earned cash, especially for parents looking for a game to pick up for their child.",Pure Nintendo,"Jul  8, 2019",A Duel Hand Disaster: Trackher,Switch
75,"A Fold Apart probably isn't ""fun"" when it's all said and done. It is unique, though, and may give you a greater appreciation for your loved ones who live far away. [Issue #47 – July/August 2020, p. 17]",Nintendo Force Magazine,"Aug 29, 2020",A Fold Apart,Switch
75,"A Fold Apart knows how to make the most out of its personality, and create a simple but engaging puzzle game. It has some flaws, like a very slow pacing, but, overall, we’ve enjoyed it.",Vandal,"May 26, 2020",A Fold Apart,Switch
75,"A Fold Apart is a unique experience in terms of what is on offer from a puzzle-solving aspect, with the paper-folding brain-twisters allowing for an enjoyable experience from top to bottom. Pair that with beautifully-crafted environments, vibrant colors, and a compelling story and you have a game that plays and looks great. If the performance was on point, this would have been one of the premier puzzle experiences in the first half of 2020. Still, A Fold Apart is one to pick up and play if you can look past the framerate issues.",NintendoWorldReport,"Apr 23, 2020",A Fold Apart,Switch
70,A Fold Apart is a simple but short puzzle game with an interesting mechanic that explores relationships and difficulties of modern non-verbal communication.,PLAY! Zine,"May  4, 2020",A Fold Apart,Switch
70,"Practical puzzle games don't get much cleverer than A Fold Apart. Although it's a short adventure, it's one that you surely won't forget.",Video Chums,"Apr 17, 2020",A Fold Apart,Switch
50,"Presumably the game goes easy on players so they can focus on the unfolding story (pun not originally intended). However, if you hate the story as much as I did, that’s not a good thing. Again, I’ll freely admit that if you don’t spend too much time thinking about any of this, A Fold Apart is a mildly charming puzzle-platformer. But beneath that brightly-coloured surface, there’s a pretty noxious message.",Gaming Age,"Jun  5, 2020",A Fold Apart,Switch
91,"Really, I shouldn’t be shocked that A Good Snowman is Hard to Build is so cute or so good at what it does. After all, it’s a loose sequel to A Monster’s Expedition – which also came to the Switch after being a mobile hit, and which was also utterly delightful. You don’t need to play one in order to understand the other, but if you want some adorable-but-challenging puzzle games, you should probably play this one. Or that one. Or, better yet, both.",Gaming Age,"Jan 18, 2022",A Good Snowman Is Hard To Build,Switch
73,I enjoyed my time with A Good Snowman is Hard to Build despite its brevity and the fact that I got stuck quite regularly. It's bursting with so much charm and lovely aesthetics that you'll roll snowballs with a smile on your face for as long as it lasts.,Video Chums,"Sep  4, 2021",A Good Snowman Is Hard To Build,Switch
80,Gummy’s Life is fun for the family but a little difficult to learn to play.,GameSpace,"Sep 25, 2018",A Gummy's Life,Switch
70,"A Gummy’s Life is solid for what it is. It definitely feels like a game that belongs on the Switch, even more than it belongs on PC. The overall experience is great for younger players, but can be equally as fun as an option for family game night. Nice and juicy.",TheGamer,"Apr 11, 2021",A Gummy's Life,Switch
65,"The fun, however brief, is in the friendly couch competitions. That’s the only place a game like this can be enjoyed so that players can feed off each other’s excitement to bolster the experience. But, if your party is going to last much longer than an hour, you better ensure that you’re packing additional entertainment options when the thrill wears off.",Nintendo Enthusiast,"Dec 18, 2018",A Gummy's Life,Switch
65,"A Gummy's Life is a very enjoyable fighting game. Its technical section is not the best, but it is enough for what it was looking for: chaotic and fun matches.",Nintenderos,"Nov 29, 2018",A Gummy's Life,Switch
60,"A Gummy’s Life is a mixed bag of sweet and sour candies. Free for all mode is a fun experience but after an hour of play becomes stale unless you have friends around to play alongside you. Other modes merely feel like putting sprinkles on a muffin to make it a cupcake. It isn’t a horrible game – it doesn’t have any major flaws or anything; it is a game that is perfect for when you and some friends just want to have a taste of some good fighting game fun. Rag-dolling around, falling over, and tossing each other can lead to some funny, enjoyable experiences. But when isolated to the player and a few bots however, the charm is glazed over by all the flaws of the AI and the online availability issues.",COGconnected,"Nov 26, 2018",A Gummy's Life,Switch
40,"A Gummy’s Life is frantic battling multiplayer action, but despite numerous game modes it all feels the same. It won’t keep you entertained for long.",Switch Player,"Feb 25, 2019",A Gummy's Life,Switch
80,"Taking into account the stuttering, low resolution textures, and downgraded 3D models, this is still an incredible game. When I started playing, the game was a bit harder to look at, but as I continued and got back into the flow of its platforming I stopped caring about the visuals. While the glitches are still bothersome, it’s a testament to just how good A Hat in Time is that I still adored the game in this compromised state.",GamingTrend,"Nov 27, 2019",A Hat in Time,Switch
80,"A Hat in Time brings back a genre that, as Nintendo fans, we hold a ton of nostalgia for. Even with some archaic mechanics present, this is still one of the best modern examples of what a 3D platformer should be.",Switch Player,"Nov  5, 2019",A Hat in Time,Switch
80,"A Hat in Time is a hugely enjoyable take on the classic 3D platformer. The tight, familiar controls and varied, innovative levels result in one of the most fascinating and entertaining games out there. The issues with performance and the camera do little to wipe the smile from our faces while playing through this; if you adore the likes of Super Mario 64 and Banjo-Kazooie, then you'll fall utterly in love with A Hat in Time.",Nintendo Life,"Oct 24, 2019",A Hat in Time,Switch
80,"On Nintendo Switch, A Hat in Time is still a very good 3D platform-action game that will thrill even more those who have experienced the glorious hours of Rare on N64 or the arrival of the revolutionary Super Mario 64 on the Nintendo console. For others, the humor, the many ideas, the perfect rhythm should be enough to immediately seduce them.",Gameblog.fr,"Oct 23, 2019",A Hat in Time,Switch
70,"While it's true that the game presents some technical issues that need correction, there's plenty of positive elements that make this a fun and involving game, including the variety of levels and the humor that can be found throughout the entire experience.",FNintendo,"Oct 27, 2019",A Hat in Time,Switch
70,"A Hat in Time + Seal the Deal knows what kind of game it is, and it certainly pays homage to titles that built the genre. It has its own cute, quirky personality but it definitely trips over itself, despite a valiant effort to be a great 3D platforming experience. It just needs to run better, and iron out its rougher spots so that it can throw its own hat into the ring of the best 3D platformers.",NintendoWorldReport,"Oct 17, 2019",A Hat in Time,Switch
70,"A Hat in Time is a delightful 3D platformer, with tight controls, some of the best humour seen in the genre to date and compelling scenarios driving the collectathon aspect of the game. It doesn't revolutionise anything in the presentation department, with rather low polygon models and scenery, but that doesn't take anything away from the enjoyment to be had on any platform it has been released on so far. On Switch, it is held back by some low-res textures and a resolution of only 720p in docked mode, but it does fare better overall in portable mode. Then, still specific to this Switch version is occasional stutter and long load times giving it a rough looking varnish that could perhaps still get ironed out through a patch.",Cubed3,"Oct 17, 2019",A Hat in Time,Switch
75,"Overall, Nyakuza Metro is a great addition to an already great game. The new chapter and the vast amount of new customization options available made this DLC stand out far more than Seal the Deal. Although it suffers from short length and the absence of the Online Party Mode, the adventure was fun from beginning to end. If you enjoyed the base game, then you will certainly enjoy Nyakuza Metro.",NintendoWorldReport,"Dec  2, 2019",A Hat in Time: Nyakuza Metro,Switch
50,"Seal the Deal does not revolutionize A Hat in Time and as a DLC, it's very short and its additional difficulty level doesn't always feel like it improves the experience. On the other hand, this DLC can be seen as a gift for Nintendo Switch players who so patiently waited for it, so on that note Seal the Deal is a welcome addition and should not be judged too harshly.",FNintendo,"Nov 20, 2019",A Hat in Time: Seal the Deal,Switch
90,"A Hero and a Garden is a simple visual novel with minimal gameplay and a deep story. It’s a short, fun game, and it’s worth anyone’s time.",Pure Nintendo,"Sep 22, 2020",A HERO AND A GARDEN,Switch
60,"A Hero and A Garden is a simple yet charming point and click adventure with a meaningful story to tell. It doesn’t last long and you might not come back to it ever again, but its charm warrants an hour of your time.",Switch Player,"Oct  5, 2020",A HERO AND A GARDEN,Switch
75,"A Hole New World combines the movement mechanics of two worlds that are as different as enjoyable, all justified by its plot. Even though, we can’t consider it as a great example of the genre due to its simplicity, where exploration becomes secondary.",Nintenderos,"Mar 22, 2018",A Hole New World,Switch
75,"Despite the difficulty spike at the end, I really enjoyed playing through A Hole New World. The game scratched a very specific itch for me, and despite its problems, it ended up giving me a far better experience than revisiting the fascinating, clunky horror games of my childhood would have. Let’s hope the planned fixes elevate the game even more.",NintendoWorldReport,"Mar  8, 2018",A Hole New World,Switch
60,"A Hole New World is a decent enough retro platforming experience, but it’s short, and doesn’t stand out from the pack. The First Press Games collector’s edition looks tasty, though.",Switch Player,"Oct 30, 2019",A Hole New World,Switch
60,"A competent and authentic 8-bit experience, A Hole New World will be enjoyed by many a retro fan out there, but the some of its mechanical elements are faithful almost to its detriment. Travelling between the dual worlds is cool, but utilised without much ambition or variety. While certainly not a bad game, the methods employed to enforce difficulty feel cheap and frustrating, rather than motivating or rewarding. A few of the bosses are visually impressive, but there isn't much here structurally or gameplay wise that particularly stand out . If you're looking for another title with more nostalgia and 'traditional' challenge rather than sadistic, fast-paced, twitch-based platformers, then A Hole New World is an adequate game that will bring back many memories of the 8-bit era, for better or worse.",Nintendo Life,"Mar  5, 2018",A Hole New World,Switch
85,"Overall A Juggler’s Tale is a very neat experience with fantastic aesthetic presentation, a fantastic medieval style soundtrack, and a heartwarming but simple story to tell. The only real issue I experienced were some readability problems when it came to figuring out what certain puzzles expected of me, but I was always able to figure it out on my own in the end. A playthrough goes quickly, only lasting around two to three hours, so it doesn’t overstay its welcome nor does it feel too brief. If you enjoy a good puzzle platformer, A Juggler’s Tale is a worthy addition to your collection, no strings required.",NintendoWorldReport,"Sep 30, 2021",A Juggler's Tale,Switch
80,"A Juggler’s Tale isn’t a long game, it will only take you a few hours to complete. However, its length is refreshing in a time where we are surrounded by massive open-world games that can leave us exhausted just by looking at their playtime. Abby is a joy to play as, and though she doesn’t say a word and is sometimes taunted by the narrator, her story resonates through the way she survives and thrives in a world that wants to keep her grounded and tied up. The way that you can literally feel the weight in her strings adds a layer of empathy for the protagonist and makes you realise how strong-willed she really is. Though she is small in stature and doesn’t look like she’d be strong, this puppet’s tale will make you realise that strength comes in all sizes, even in the shape of a little marionette whose only real talent is juggling.",Checkpoint Gaming,"Oct 19, 2021",A Juggler's Tale,Switch
70,"A Juggler’s Tale is a polished title, delivering a smooth gameplay flow that’s over too quickly for its launch price. Anyone can appreciate the visual presentation and voiced story. Meanwhile, enthusiasts will enjoy the blend of puzzles (albeit easy ones) and action. It’s a unique game in many ways and one that leaves an impression. But, it also leaves you wanting more. I hope to cheer on Abby in a sequel, one whose price better matches its length.",Pure Nintendo,"Oct  8, 2021",A Juggler's Tale,Switch
65,"Without showing any great singularity, A Juggler's Tale stands out with a beautiful atmosphere, a few nicely sketched sets and a handful of well-thought-out puzzles. But the lack of comfort felt during the crossing lacks an experience that is a bit too short and generic to really score. With better handling and some additional originalities, the game could have been a real success. Pity.",Jeuxvideo.com,"Dec 31, 2021",A Juggler's Tale,Switch
60,"At just two - three hours in length, A Juggler’s Tale is a lean experience with little fat on the bones (though may still be a tad on the short side for some). Nevertheless, it’s a shame that the developer leant on the same type of puzzle for much of the game, as it makes certain areas feel repetitive as a result. If you’re a fan of games like Limbo and Inside, this is a nice alternative; just don’t go expecting a game of the same calibre or quality.",Nintendo Life,"Oct 10, 2021",A Juggler's Tale,Switch
40,"A Juggler’s Tale tried to do a lot for a two-hour game, and while that’s not always a bad thing, I wish it had instead just focused on one thing and perfected it rather than throwing so much at me and having none of it land. I also came across a glitch where one of the cutscenes kept causing everything on my screen to freeze. I was eventually able to move past it but this particular issue, coupled with the terrible lighting and clunky controls, made playing through this game feel like a chore.",Gamer Escape,"Oct  6, 2021",A Juggler's Tale,Switch
80,"Although it seems clearly inspired by The Legend of Zelda series, A Knight’s Quest forms its own footprint. Despite a few minor setbacks, A Knight’s Quest does a great job delivering a fun, light-hearted adventure. Its funny storytelling sets it apart and makes a welcome addition to the Switch library. Genre fans should certainly check this one out.",Pure Nintendo,"Oct 18, 2019",A Knight's Quest,Switch
75,"There is an incredible amount of charm and character to A Knight’s Quest. I’d strongly encourage anyone who thinks they can get past the technical and combat issues to give A Knight’s Quest a try. While those issues are substantial and may turn some off, there is an amazing game resting just below the surface.",NintendoWorldReport,"Oct 10, 2019",A Knight's Quest,Switch
66,"A Knight's Quest is very far from the games it takes inspiration from, lacks of personality and presents some combat system issues and bugs. Give it a try only if you are an hardcore fan of The Legend of Zelda series.",SpazioGames,"Oct 10, 2019",A Knight's Quest,Switch
63,"A Knight´s Quest is a good game to younger players. The title presents a simple history with simple challenges. The graphical side is a little bit poor, but it can be a good choice if you want a classic adventure at a good price for a younger player.",Hobby Consolas,"Oct 10, 2019",A Knight's Quest,Switch
60,"It can be difficult for small studios to get a good start in the video game business. At Knight's Quest proves it once again. It's not a bitter failure, as there are things to keep, but it's not enough to simply copy the great names of this industry to make a good title. The lack of originality and the chaotic technique got the better of the game for our part. On the other hand, if you are not afraid to play a RPG you have already seen 25 times, the story length and the price might seduce you.",MGG,"Oct 16, 2019",A Knight's Quest,Switch
60,"A Knight’s Quest brings a much needed light-hearted take on the action-adventure fantasy genre, with a genuinely funny sense of humour running throughout and plenty of world to explore. It’s marred by a poor navigation system, inconsistent visual quality and an overall lack of polish. There’s plenty of fun to be had on this quest, but there’s very little to write home about when the Switch is full to the brim with similar titles that provide superior experiences.",Nintendo Life,"Oct 10, 2019",A Knight's Quest,Switch
50,"A Knight’s Quest seeks to give players access to the serene joy of a 90s action-adventure game. Unfortunately, the result is an unremarkable attempt to go beyond imitation without anything interesting enough to prop it up.",Switch Player,"Nov  4, 2019",A Knight's Quest,Switch
42,"The dialogue is enjoyably sarcastic, and it blends in political commentary in an impressively unobtrusive way, getting the point across without feeling like it has to slam you over the head with it. It’s still not funny enough to make it worth your while to play A Knight’s Quest, though. There are numerous games that do the same thing but in a much better, more interesting way, and you’d be better off playing any — or all — of them than wasting your time and money here.",Gaming Age,"Oct 23, 2019",A Knight's Quest,Switch
20,"That A Knight's Quest is being sold on the eShop at all is ludicrous. Combat, enemy design, the camera, the save system, and the script were all in desperate need of more time. Sky9 releasing the title as is, is simply downright embarrassing. Beyond the lack of polish and the frequent bugs, this is a title that ignores 20 years of conventional game design philosophy, and massacres itself in the process. Few have managed to mangle the basics of 3D combat so badly. Play anything else. A Knight's Quest is one of the worst games of 2019.",Cubed3,"Oct 21, 2019",A Knight's Quest,Switch
100,"It’s a gorgeous game that gets to the heart of why people get hooked on golf and, as I said, if you’re a fan of the sport, it’s a must-play.",Gaming Age,"Jan 28, 2022",A Little Golf Journey,Switch
95,"A Little Golf Journey is the best experience I've ever had in a golf game. With a surprisingly deep story, an innovative and inclusive gameplay, and 400 stars and 68 secret items to collect, whether you are looking for a relaxing moment or in search for the perfect conclusion, this game is for you.",Universo Nintendo,"Feb 14, 2022",A Little Golf Journey,Switch
90,"The most surprising part of the experience was becoming engrossed in a story that built without being noticed. The game opens with a letter that originally seems to just be a stand-in for the developer to welcome players to golf, but over time it transitions into something more personal and reflective. What was once a series of formal letters becomes something beautiful, a sincere back and forth between X and Y, the player and the writer. A Little Golf Journey is a game full of surprises and a gameplay loop that never gets old, and comes highly recommended.",Screen Rant,"Oct 18, 2021",A Little Golf Journey,Switch
90,"With 400 stars to earn, dozens of Blue Things to find, and countless secrets to discover, it turns out that A Little Golf Journey is actually much larger and content-full than its name would imply. I love having it to chill out with before bedtime as I need to wind down after multi-hour Metroid Dread sessions, and I think it might actually be my new favorite golf game on Switch, closely edging out Golf Story. I did encounter a few technical issues where my ball got stuck and I had to restart the hole, but this wasn’t a frequent occurrence. If you’re looking for a peaceful and zen-inducing golf experience, there might not be any better than A Little Golf Journey. I intend to relive this journey over and over as I shoot for the stars, and yeah, those little blue things, too.",NintendoWorldReport,"Oct 14, 2021",A Little Golf Journey,Switch
80,"Step aside multiplayer sports games! With an abundance of multiplayer games clogging up the virtual pipes these days, A Little Golf Journey is an introvert’s breath of fresh, solo-play, air. An arcade puzzle game with golf as the centerpiece. Take a nice, deep breath, but try not to inhale the golf ball.",Switch Player,"Oct 29, 2021",A Little Golf Journey,Switch
80,"Don’t write A Little Golf Journey off if you’re not a golfer. This gorgeous little game is more about solving puzzles than the sport, and it blends the two perfectly. Presented in a wonderful level-based package, finding the best way to putt the ball in each level provides a simple but effective gameplay loop that will keep you coming back for more. This is a game that’ll test your thinking skills, but you’ll also have a lot of fun at the same time.",GameSpew,"Oct 19, 2021",A Little Golf Journey,Switch
80,"A chilled and deeply satisfying golf game, A Little Golf Journey combines small scale courses with a pleasant soundtrack, a varied art style and a real sense of adventure in a really pleasing way. Even if you don’t like golf as a sport, the environmental puzzles and quirky narrative in this game make for a gratifying experience, even with an occasionally unwieldy camera.",Finger Guns,"Oct 18, 2021",A Little Golf Journey,Switch
75,"A relaxing adventure golf game with a lot of content, but a lack of variety.",SECTOR.sk,"Jan 24, 2022",A Little Golf Journey,Switch
70,"A Little Golf Journey cleverly mixes 3D platformer mechanics with a standard golf approach to deliver a relaxing yet challenging adventure, with many secrets to find. If only the camera was not so twisted.",Gameblog.fr,"Oct 16, 2021",A Little Golf Journey,Switch
60,"A Little Golf Journey oversells its “stunning” courses and struggles to stay fresh with a mostly safe approach, regardless of plot attempts. It’s the sort of game that did enough to make me want to keep going for a few hours, but not enough to finish, let alone 100% it. Lacking diversity, both aesthetically and gameplay-wise, it pales when compared to many other Switch golf titles. But, even with a subpar camera, the secrets are quite a bit of fun. Assuredly not $19.99 fun, though. The content is there, but the enjoyment and polish aren’t as much. Wishlist this one for a sale while you browse other relaxing games on the eShop, and wait for an improved follow-up.",Pure Nintendo,"Oct 26, 2021",A Little Golf Journey,Switch
60,"Replaying the levels only serves to exacerbate a nagging feeling that A Little Golf Journey is simply too repetitive. When you move from one set of levels to the next, the visual design changes, with some courses looking genuinely beautiful. This doesn’t change the fact, however, that the terrain simply lacks variety throughout. The game clearly strives to provide a relaxing experience, but in doing so, it struggles to give much incentive to keep playing.",Nintendo Life,"Oct 20, 2021",A Little Golf Journey,Switch
70,A Little Lily Princess is a character driven visual novel with great art and wonderful music. The life-simulation aspect is a bit random but if you’re a fan of a good story you’ll want to pick this one up.,Switch Player,"Jun 17, 2021",A Little Lily Princess,Switch
80,"The Switch is probably not the best place to experience the game – this was originally a PC title – but playing it handheld on the touchscreen is easy enough, and this is well worth investigating for those looking for something a little different.",Gamezebo,"Jan  3, 2023",A Little To The Left,Switch
80,"If you enjoy relaxing puzzle games, A Little to the Left is definitely worth checking out. I hope some of the control issues can be addressed in future updates.",TouchArcade,"Nov 23, 2022",A Little To The Left,Switch
80,"When it all clicks, A Little to the Left provides an experience that is a weird mingling of the semi-passive and viscerally intrusive. It is only the occasions when tiny touch targets cry out for a mouse pointer that the magic falls away. Once that happens, the plainer, less surprising puzzles aren’t able to carry the show on their own. As a piece, it can’t always sustain its best rhythm, but when it does, it's stimulating, quiet, and memorable.",Nintendo Life,"Nov 15, 2022",A Little To The Left,Switch
70,"Overall I found A Little to the Left to be enjoyable in the moment, but after playing I rarely have thought about the game since. The puzzles are very clever and the way they are seemingly integrated into real life objects and locations makes A Little to the Left stand out from many other puzzle games. It should be very accessible to people who do not play a lot of games, even though I felt that by the end that the game had run out of steam and felt a bit too abstract for its own good. While the Switch version performs fine enough, the controls did feel like a drag when using a gamepad, which caused me to play the game in handheld mode with touch screen controls. A Little to the Left has a clear and unique identity among other puzzle games and while it won’t last you an entire weekend there is enough here for those looking for a new type of puzzling challenge.",NintendoWorldReport,"Jan  3, 2023",A Little To The Left,Switch
70,"A Little to the Left is a cute puzzle game in which you organize everyday household items. There’s even a cat who shows up every once in a while, which is always nice (even if he’s always making a bigger mess for you to clean). With a very cozy and relaxing vibe, this game is perfect for those who like to wind down and play something easy, but also a bit challenging.",Pure Nintendo,"Nov 28, 2022",A Little To The Left,Switch
67,"As I said, there’s pleasure to be found in a bit of neatness and order, and A Little to the Left appeals to that specific part of the brain. But it doesn’t do it consistently enough to make the game worth playing, unless you like having a bit of frustration mixed in with your cute and cozy puzzles.",Gaming Age,"Nov 22, 2022",A Little To The Left,Switch
60,"A Little to the Left is a very charming puzzle game that takes you by surprise with how addictive it can be. While some elements might rub you the wrong way, it’s been designed to bring enjoyment, not frustration.",Switch Player,"Nov 21, 2022",A Little To The Left,Switch
60,"There are many other little things added into A Long Way Down that does help it feel like a much larger game than it actually is. Players can change and level up equipment, craft cards using powder found throughout the world, and some of the overworld levels have very smart puzzles that can be challenging with the limited amount of tile cards. Overall though, A Long Way Down falls short in bringing anything exciting to a genre that is already filled with excellent titles like Slay The Spire or Loop Hero, instead offering a solid back-up experience that supplements those games rather than demands someone's primary attention on its own.",Screen Rant,"Apr  1, 2021",A Long Way Down,Switch
40,A Magical High School Girl is a very repetitive and basic rogue like game which puts up a really difficult argument for starting again each time you die.,Switch Player,"Jul  5, 2018",A Magical High School Girl,Switch
70,"A Memoir Blue is over before you know it, so it doesn't quite earn a gold medal. However, for a debut effort, this is a solid outing for Cloisters Interactive, one worth dipping your toes in.",Shacknews,"Mar 29, 2022",A Memoir Blue,Switch
