score,text,critic,date,title,platform
557,8,I enjoyed this awesome classic playing with a friend on the Switch screen. It is as fun as ever and having the possibility for a local multiplayer in a flight is great!,federicodiazb,"Nov 26, 2017",ACA NeoGeo: Metal Slug X,Switch
558,8,"... jeden Abend Kuschari, mein liebster Mischmasch, humorig und anspruchsvoll, außerirdische Nazis spielen auch mit.",jens76,"Apr 10, 2022",ACA NeoGeo: Metal Slug X,Switch
559,8,"Pretty solid puzzler. Gameplay is similar to the Magical Drop series with a bit more complexity and a 90's anime art style. Would definitely get Magical Drop 3 before this since it's more fully featured, but this is a good follow up if you want more.",K1ttenface,"Jul 30, 2018",ACA NeoGeo: Money Puzzle Exchanger,Switch
560,7,"There haven't been many video games with the Vietnam War as a backdrop. This isn't really one of them, to be fair, since the bonkers story has no basis at all in historical fact, and the only link to the real-world Vietnam is the map shown between stages. Still, NAM-1975 is a somewhat significant game in the history of SNK, as it marked the Japanese developer and publisher's transition to the Neo Geo hardware and its superb library to come. As an arcade game, NAM-1975 is fine; not great, but not terrible. It would be much more playable and enjoyable as a twin-stick shooter, but as the Neo Geo MVS cabinets did not have such capability, you're stuck moving and aiming with the same control stick. Don't miss the screen shots brazenly lifted from Full Metal Jacket -- seen in a few of the cut-scenes and at the end.",JJTX,"Apr 27, 2019",ACA NeoGeo: NAM-1975,Switch
561,8,"Americans may know this game better by its localized name, Bust-a-Move. Puzzle Bobble is probably a better title, as it features the same characters and baddies from the beloved classic Bubble Bobble. At any rate, this is a delightful puzzle-action game with a competitive element in the form of local two-player head-to-head. Be warned: in the later stages, the game switches to a rapidly-moving background element that I found dizzying and discomforting to the point that I couldn't continue. Oh well!",JJTX,"Apr 27, 2019",ACA NeoGeo: Puzzle Bobble,Switch
562,8,"Puzzle Bobble is one of the grandaddies of match 3 games, and it's still influential today. It's also still very much worth playing. This conversion is historically accurate and technically competent.",nusco,"Aug  3, 2019",ACA NeoGeo: Puzzle Bobble,Switch
563,8,"While it may lack gameplay variety, Puzzle Bobble is a veritable arcade classic. The concept is easy enough for a novice to enjoy, but high scores and single credit playthroughs demand precision and skill. Easy enough to play “one more game” for hours. And the music is catchy beyond belief.",FiftyWords,"May 12, 2020",ACA NeoGeo: Puzzle Bobble,Switch
564,10,Addictive. Currently my fourteenth most played game on the Nintendo Switch.,GoodGamePlus,"Sep 16, 2022",ACA NeoGeo: Puzzle Bobble,Switch
565,8,"Grafik und Sound sind erstklassig für ihre Zeit, man betritt praktisch wieder mit großen Augen eine Spielhalle. Für Retrofans eigentlich Pflicht.",jens76,"May 10, 2020",ACA NeoGeo: Samurai Shodown,Switch
566,8,"This game has a unique 'personality' which is very endearing. The graphics still look amazing today, the sound design is really engaging, but for me it is the characters in this game that I love the most. Each one is memorable with their own distinct weapon and fighting style. The game also plays very differently to most one-on-one fighting games, requiring patience, timing and good strategy. It is also very challenging (even on difficulty level 1 of 8). My advice is to set the timer to fast, get a few early hits in and then try to dodge your opponents attacks for the second half of each round to score health victories rather than chasing KOs. This is a fighting game that has aged really well. Highly recommended to retro gamers and fans of the genre or the franchise.",abrus,"Jan 20, 2023",ACA NeoGeo: Samurai Shodown,Switch
567,8,"There is a bit of a learning curve to this game. You need to balance aggression with defence and play each opponent quite strategically. There are lots of little techniques and gages and special moves to master, and this is a bit intimidating at first. If you persist for a while though, you are soon rewarded with a deep and satisfying fighting experience. I love the way you can VERY quickly skip through dialogue and other pauses in the game to keep getting straight back into the battle! The Samurai Shodown games also have a unique and authentic atmosphere thanks to their music and sound effects. The inclusion of 28 characters in this one is very generous and gives you lots of play styles to experiment with. This is well worth a try if you are looking for a more strategic / weapon based one-on-one fighting game.",abrus,"Jan 15, 2022",ACA NeoGeo: Samurai Shodown V Special,Switch
568,8,"Shock Troopers is a top-down run-and-gun action game, though I like to think of it as a ""twin stick shooter with only one stick."" Once you adjust to the limitations of the control scheme, there's a lot of fun to be had. I'm especially fond of the vividly animated characters and enemies, with lots of expression and humor -- but the real winner is the excellent soundtrack. Be warned: if you like this game, don't bother with its lousy sequel.",JJTX,"Apr 27, 2019",ACA NeoGeo: Shock Troopers,Switch
569,7,"Ich glaube, wir sind wieder auf Sendung. Shock Troopers fühlt sich anders an, nicht leicht hineinzukommen, das will was heißen, halt 90er Jahre Realität, deswegen Pflicht.",jens76,"Feb 11, 2023",ACA NeoGeo: Shock Troopers,Switch
570,8,"This is a fun game! Nice retro graphics and sound, smooth gameplay and 8 playable characters who all play a bit differently to each other. ""Team"" mode allows you to select 3 of the 8 characters which you can switch between during your game which is a really nice touch. A free-choice branching path system means you can chose the first 5 stages of the game from 3 alternatives each time which adds a lot to the replay value of the game. I also like that a single run only takes around half an hour. The biggest potential improvement would have been the addition of alternative 'twin stick' controls, but as it stands this is still a really enjoyable game to play.",abrus,"Jan  8, 2022",ACA NeoGeo: Shock Troopers,Switch
571,3,"Este juego es un gran modo de ver lo mucho que han evolucionado los juegos de fútbol, ""Super Sidekicks"" es divertido y desafiante pero muy arcaico.La posibilidad de jugar con amigos o el modo arcade no terminan de hacerse valer por lo duro e imprecisos controles.No puedo recomendar el juego, resulta llamativo al principio pero con FIFA en el catálogo de la Switch es mejor pasarlo por alto e ir a la franquicia más actualizada.",mefzeldernx,"Feb 11, 2018",ACA NeoGeo: Super Sidekicks,Switch
572,8,"Nintendo User Alfonspartan, adquirido hace un par de dias, $150 pesos mexicanos. Pros: Adaptacion similar a metal slug para jugar 2 jugadores con dos joycon. Juego muy fluido, dificultad en aumento ganes partidos. No puedes elejir el torneo como en la maquinitas arcade, variedad de equipos y seleccion de habilidad. Contras: Repetitivo y en veces los controles responden un poco lento. Precio es muy alto para ser un juego bastante sencillo, pero vale la pena, para los que nos gustan los juegos arcade tenerlo.",Armywild,"May 21, 2018",ACA NeoGeo: Super Sidekicks 2,Switch
573,6,"SNK had apparently not quite figured out what they wanted to do with this seminal series when its first entry arrived in arcades and on the Neo Geo AES. Easily the worst game in the KOF lineup, The King of Fighters '94 is almost a prototype for what was to come. It feels stiff and clunky at times, and the inability to create custom teams provides for some frustration when running into unstoppable opponents. (On that note, the Team China grouping of Athena, Kensou, and Chin is OP.)",JJTX,"Apr 27, 2019",ACA NeoGeo: The King of Fighters '94,Switch
574,7,"No me molestaré en extenderme en la review. Soy un fan asqueroso de KOF y voy a tener todos los que saquen para Switch, pero el 94 fue una primera entrega con mucho por mejorar y se nota si lo juegas después de unas horas en el 98 o el 99.",TheGeekLantern,"May 30, 2017",ACA NeoGeo: The King of Fighters '94,Switch
575,8,"An improvement on almost all levels over the first KOF game, The King of Fighters '95 is a great entry point to the series for fans of fighting games. Its biggest distinction from other fighting game series is the three-member tag team-style format of matches, and KOF '95 introduces a bit of customization to the mix. Later KOF games are better, particularly KOF '98, but there's some enjoyment to be found here, for sure.",JJTX,"Apr 27, 2019",ACA NeoGeo: The King of Fighters '95,Switch
576,7,"Uno menos en mi lista de espera de títulos de KOF. Si bien tiene grandes mejoras respecto a la versión 94, se nota que aún le quedaba mucho camino a SNK para estar en la cima de los juegos de pelea. Recomendado solo para los nostálgicos. :D",TheGeekLantern,"Oct 25, 2017",ACA NeoGeo: The King of Fighters '95,Switch
577,10,"One of the many SNK masterpieces, and arguably one of the greatest 2D vs fighters ever created. Having this title on the go, along with those two little detachable joycon that function perfectly as 2-player micro arcade sticks, is the likely the closest we're likely ever going to get to having a portable arcade machine.",dataDave,"Apr  5, 2017",ACA NeoGeo: The King of Fighters '98,Switch
578,8,"Arguably the best entry in the KOF series, The King of Fighters '98 is a ton of fun for classic 2D fighting game fans.  Movement is smooth and fluid; special moves are easy to pull off; and the signature three-member tag teams can easily be mixed and matched for a ton of variety and replayability.",JJTX,"Apr 27, 2019",ACA NeoGeo: The King of Fighters '98,Switch
579,9,"Soy un Fan asqueroso de la serie KOF y el 98 está en el Top 3 de mis favoritos. Si traen el 2000 y el 97 para poder llevarlos a todas partes en mi Switch, me podré dar por muy bien servido.",TheGeekLantern,"May 30, 2017",ACA NeoGeo: The King of Fighters '98,Switch
580,9,"Playing with your friends anywhere using only the joycon is the best, really, perfect game to play vs at school or work, I hope kof - 97-99-200-2001 and 2002",AngelLinebeck,"Apr 30, 2017",ACA NeoGeo: The King of Fighters '98,Switch
581,9,Perfectly crafted KoF on the go. The game is as it was launched many years ago,usmanusb,"Aug 24, 2019",ACA NeoGeo: The King of Fighters '98,Switch
582,8,"Another great entry in the KOF series, The King of Fighters '99 delivers everything great the series has to offer.  Highly recommended for fighting game fans.",JJTX,"Apr 28, 2019",ACA NeoGeo: The King of Fighters '99,Switch
583,8,Como soy un Fan asqueroso de la serie KOF no pude evitar tener el 99 en mi poder. Solo espero que también traigan el 2000 y el 97 para poder llevarlos a todas partes en mi Switch y me podré dar por muy bien servido.,TheGeekLantern,"May 30, 2017",ACA NeoGeo: The King of Fighters '99,Switch
584,9,"Mi versión favorita de KOF finalmente llegó a Nintendo Switch. Sin embargo, espero de corazón que saquen las versiones de 95 a 97 y 2001 para disfrutar por completo  de la época de oro de esta grandiosa saga.",TheGeekLantern,"Aug 15, 2017",ACA NeoGeo: The King of Fighters 2000,Switch
585,6,The licensed company did not even bother to put in-game training mode or other functions for the player to train combos. Just released as this is kof 2002 for Switch and that's it. It can be solved with an update but so far there is no concern with that...,Akiladuarte,"Dec 14, 2019",ACA NeoGeo: The King of Fighters 2002,Switch
586,8,"KOF 03 está longe de ser o melhor da franquia, mas está longe também de ser um dos piores. Controverso? Sim, essa é a palavra que verdadeiramente o define. O sucessor de KOF 02 tinha a responsabilidade de dar sequencia no melhor KOF já feito, claro, qualquer característica destoante de KOF 02 seria alvo de críticas, e KOF 03 além disso trouxe muitos aspectos, inspirados em Marvel vs Capcom, o que é claro, não agradou em nada os jogadores competitivos de KOF 02. A verdade é que KOF 03 trouxe uma história muito bem elaborada, de cara nós odiamos o novo protagonista, e essa era a intenção mesmo dos produtores. Ash Crimson é sádico, irritante, pedante, abusado, tudo para esconder sua verdadeira personalidade altruísta que vemos no futuro KOF XIII. A trilha sonora segue o padrão SNK de qualidade, é muito bem composta, principalmente a música Splendid Evil, tema de Ash Crimson e seu time. Os gráficos também são um show à parte, a começar pela introdução. A cena da carta de convite girando como em KOF 94 é um milagre técnico impressionante, pois o mesmo hardware processa os mesmos jogos. Os cenários e os sprites dos personagens são bem feitos para o Neo Geo, principalmente os cenários que são realmente impressionantes para o Neo Geo. A jogabilidade, inspirada em Marvel vs Capcom, trouxe a controversa mecânica de TAG, com o objetivo de deixar o jogo mais competitivo, entretanto, justamente os jogadores competitivos, o público alvo para tal mudança, não gostou da mesma. A seleção de personagens é interessante trazendo personagens de Garou como Terry de jaqueta de piloto, Gato e Tizoc, e também traz novos personagens como Maki, a irmã de Chizuru, Adelheid Bernstein o filho de Rugal, e os novos protagonistas Ash Crimson, Shen Woo e Duo Lon, também não podemos esquecer de um dos chefões mais difíceis da SNK, o integrante daqueles do passado, Mukai. O legal, é que assim como Garou, KOF 03 tem dois chefes, e você tem que cumprir um requisito específico para enfrentar o chefe verdadeiro e assim ver o final do jogo. Embora realmente ele tenha suas falhas com o sistema TAG que deveria ter sido mais aprimorado, algo que vemos em KOF XI, é sim um bom jogo, vale a pena dar uma chance para o mesmo.",LohanDSouza,"Aug 20, 2020",ACA NeoGeo: The King of Fighters 2003,Switch
587,9,"An underrated SNK classic with a minimalist and ambient essence. The satisfying but simple set of mechanics, less detailed but still beautiful pixel art, the small roster and the quieter environments (taking place just before Japan's Meiji Period), makes an atmospheric fighting experience. It's less showy and grand than it's sibling, Samurai Shodown and certainly less over-the-top than your average Capcom or anime fighter. There's less blood and less exaggerated supernatural feats, with more of a focus on regular swordsplay. I find all of this to be this hidden gem's unique appeal.Also, as a Rurouni Kenshin fan, I adore the references (which makes me want to see this series return spiritually as a 'Rurouni Kenshin FIghterZ' of sorts).I'm glad I took the leap into trying this out. As a fighting game fanatic, it's one of my favourites next to 3rd Strike, Tekken 5 and the Bushido Blade duology.",wandererhikari,"Jun 11, 2022",ACA NeoGeo: The Last Blade 2,Switch
588,10,Se extrañan estos juegos brillantes y llenos de magia! sentido del humor y buena energìa! Waku Waku 7 es un juego divertido! lleno de color y personajes vibrantes! Son pocos los juegos que enamoran de primera vista! Waku Waku 7 es uno de ellos! Este juego tiene mecánicas simples a primera vista... pero como los buenos juegos de peleas vas descubriendo poco a poco mas y mas tècnicas! estos juegos son para obtener meastrìa... no son tanto para jugadores casuales aunque tambièn resulta divertido en partidas con tus amigos en duelos de noobs! Los personajes son un encanto! Es de las franquicias de un solo juego mas memorables que conozco! Ojalà que Sunsoft se anime a realizar una secuela! 100% Recomendable! Si te gustan los juegos retro de peleas y el anime!,KhalidStarlight,"Mar  4, 2019",ACA NeoGeo: Waku Waku 7,Switch
589,8,"Waku Waku 7 owes a lot to Dragon Ball -- in fact, it could easily be a decent Dragon Ball arcade fighter with a roster and stage makeover. But it's a lot of fun just the way it is, with a zany roster and some genuinely funny dialogue that accentuates the charm and personality of every fighter. It's a pity Sunsoft never saw fit to create any sequels, as there's a lot of untapped potential here. Check it out!",JJTX,"Apr 28, 2019",ACA NeoGeo: Waku Waku 7,Switch
590,6,"World Heroes is a competent but unremarkable Street Fighter II clone, one of many that emerged from the fighting game craze of the early 1990s.  It has some decent music and interesting stages, and the small roster has a few memorable characters. Gameplay is a bit stiff and sluggish, especially compared to the better Street Fighter and King of Fighters games of the era.",JJTX,"Apr 27, 2019",ACA NeoGeo: World Heroes,Switch
591,7,"Once again, we have a decent if not particularly memorable Street Fighter II clone among the dozens that crowded the Neo Geo platforms in the 1990s. World Heroes Perfect is marginally better than its predecessor, but it's still just another standard entry in a B-tier fighting game franchise.",JJTX,"Apr 27, 2019",ACA NeoGeo: World Heroes Perfect,Switch
592,1,"Do not be pulled in by the Celeste-like graphics and cheap price. I gave it 1 star because the small part I played wasn't broken but it controlled poorly, had boring level design and bad minute to minute gameplay. Outside of the main character the graphics are also plain and ugly.",J-Dig,"Apr  4, 2021",Acalesia,Switch
593,8,"It looks, sounds, and plays like a fever dream and truly captures what it might feel like to be seafood. The lore is confusing but amusing and the game has more to offer than meets the eye. The controls can be hard to get used to and the game may be difficult for some, but it's worth playing all the way through. Overall, the soundtrack may be even better than the game itself. For its price, I highly recommend it.",RedJohnConnor,"Feb 19, 2020",Ace of Seafood,Switch
594,6,"Aces of the Luftwaffe - Squadron suffers from some turbulence, but still manages to provide a pleasant ride that's probably better experienced with friends. Final Rating - 3/5 Stars. (Translated to 6/10 for Metacritic) Full review available on our site.",Geeklysian,"Oct 15, 2019",Aces of the Luftwaffe: Squadron,Switch
595,8,This seems like the football game I have been waiting for on switch. It plays like old school 90s football games (think sensible soccer and kick off) and that is a very good thing. If you value fun over licensed players (and surely the reason you play games is for fun?) then you will enjoy this game. It is not perfect but it is reasonably polished and the small occasional bugs do not distract from the game play.,Coolblue2000,"Apr 24, 2019",Active Soccer 2019,Switch
596,7,"Goalscoring superstar hero! Tinker with the camera angle, height and zoom and you’ve got a pretty decent handheld clone of Sensible Soccer.  That is my quick first impression from playing a custom tournament of classic English club sides full of legends after a bit of a go with the player and team editor.  As I swerved home a great long range effort with aftertouch from Jay Jay Okocha to Nat Lofthouse’s head, the good feelings about 1990’s Sensible Soccer sessions returned!  The passing, the shooting, the tackling etc all feel very similar to that much loved game.  You have multiple difficulty levels, speeds, camera angles, replays, the ability to store a library of replays.  I found playing on handheld mode more enjoyable than docked. After playing I looked around the editing areas and found that you can edit player names and team names, but not abilities or kits (although you can mix and match home and away colours prematch to avoid clashes).  I would say that while the collection of classic club and classic international sides is very extensive (the largest I’ve seen before in any football game) - the actual font used in the menus could have been clearer for editing purposes.  At least it is there though, which means a potentially long shelf life for football lovers/anoraks like me who are interested in historical players.  The sheer number of classic teams is very impressive, must have taken some research and there is a nice spread of the legendary Eastern European/Soviet bloc teams as well as the fairly standard array of Western European classic club teams.  There’s a lot of South American classic club teams too.  Editing is better in handheld than tv mode I found. Career mode I haven’t had chance to test so won’t pass comment on and neither have I had chance to test out local multiplayer.  There is a tutorial section in the rather bland front menus and also a replay section for reliving those great goals which you are given the option to record during the game. Overall: It plays similarly to 1990s Amiga soccer classic Sensible Soccer when you have tinkered with the settings.  I don’t think it hits the same heights, but the goals are still very satisfying once you get comfortable with the gameplay.  It might take practice and it will certainly take patience with the editor to get all the correct names of teams and players.  As a pick up and play handheld game it’s a decent stab at an all time classic.",mfairhu1,"Apr 19, 2019",Active Soccer 2019,Switch
597,8,"It's a fun and addictive little football game. Not without bugs, but in my opinion it's really well done and is now the best soccer choice on the switch besides FIFA. Certainly better than legendary eleven, which was really disappointing. It plays a lot like sensible soccer in the 90ies but with better graphics. Considering the small price, I would totally recommend this.",Luki1981,"Apr 22, 2019",Active Soccer 2019,Switch
598,2,"All i can say is its a very poor football game. Im not the type of person to look for licensing in clubs or names, players etc (which this game doesn't have btw) pretty cheap.But i am after a fun football game.And this game is not fun at all, its trying to be ""sensible soccer"" but it fails way short.Its one of those games you play once and never play again. Buy at your own risk because its a pretty crappy game.",Underr8ted,"Apr 19, 2019",Active Soccer 2019,Switch
599,3,"This game does have 4-player co-op, but the issues make it not worth your time.What issues?Input is laggy, often responding late in the game and menus. It's one of those games where you start it up, press buttons, and nothing happens for several seconds. In game the somewhat frequent lag leads to frustration.I also carefully edited all the team names, only to have them all erase just minutes after completing the task while backing out of career mode.I regret the purchase, and note that if these issues were fixed, I think it would be a fun, though rough around the edges, game of soccer.",cyruszuo,"Apr 23, 2019",Active Soccer 2019,Switch
600,5,"I really wanted to like this game but it's just cheap. The gameplay is ALMOST there and that's all; i'm not looking for licensed teams nor next gen graphics, but the game art is not retro but mediocre :( User interface seems made by a programmer in a couple of days, not really usable and looks awful  and that's disrespectfulto the consumer. I'm bored of PES and FIFA, i've waited for this game since it was announced and i would love to recommend this game but sadly i can''t :(",KimJohnUn,"May 26, 2019",Active Soccer 2019,Switch
601,9,"I’ve always heard good things about the active soccer games as it was always said that it was arcade like and a spiritual successor to the sensible soccer series. To be honest..I thought sensible soccer sucked. I tried it and maybe people just have some sort of nostalgia googles on or whatever but I just couldn’t find what was so godly about it. I could care less about rosters as I don’t watch soccer because it’s pretty boring but mind you when it comes to arcade like soccer then count me in. I was never a fan of simulation because let’s be clear...soccer is already boring to watch to begin with. No wonder why Europeans go nuts when their team scores because I’d be pretty jacked up too knowing that it might take another century to score another goal. Maybe soccer is like baseball because everyone is to lit up on booze that it makes it more fun to watch which is true because I’ve hung out with people drunk and they were a hoot but sober were a drag. Anyways...I downloaded active soccer 2019 and I thought..maybe it’s like Mario strikers charged without the power ups and crazy hijinks going on. So I fired this baby up. The graphics aren’t going to tax the Nintendo switch but before the new patch. This game chugged and struggled. But it’s good now so don’t get all worried baby’s. So it ain’t a hot looking honey but it’s what’s under the skirt that gets me going. Well...let’s just say the gameplay stunk at first. I played it and no matter how many times I shot the ball, it missed the net consistently. That’s one thing I never understood about soccer. They are considered pros yet the net is the size of Madonna mansion and they still miss the net a lot. I tried tapping the shoot button and finally it was on target and the goalie stopped it. I tried to pass and one timer the ball into the net but missed it from a very close distance. I thought this game is garbage. I’m not having fun at all. So I deleted it. I thought what a waste of money. So I a few weeks passed and I read they put a patch out fixing the frame rate and gameplay somewhat. So I thought..meh..I’ll give it another go. Instead of leaving it on the slow speed..I put it to fast and wow..what a difference. It just felt better. Then it happened. I scored...then I scored again and again..sure I still missed the net every now and again or the goalie stopped it but I’m glad I gave it a second chance. It’s now clicking and I see why others have raved about it calling it fun. It truly is fun but you have to give it really a good chance. I went in thinking it was arcade fun where it’s fast and fun and high scoring crazy times. It is but it’s got a slight shot of sim infused in it as well. So do I recommend this game. Absolutely but if you find it’s no fun and pretty bad at first. Just get away from it a bit or maybe delete it and come back to it like I did. It will click. It did for me. It went from a 5 out of 10 to a 9 out of 10. Why only 9. The graphics could be better but the gameplay grows on you to the point where it’s truly fun. Would I buy it at full price. Sure but if your not a hardcore soccer fan then maybe wait for a slight price drop. But other then that. This game is pretty cool.",Jonnyblond77,"May 11, 2019",Active Soccer 2019,Switch
602,9,"I've played through the original countless times, changed the battery on my SNES cartridge once. Actraiser was the game, other than SMW and Pilotwings, that sold me on getting the system back in 1990 when it launched. Saved up a lot of allowance for that and it was my first real purchase as an ""adult"" of 11 yrs old. I was HIGHLY skeptical of this remake, especially since the first that I ever heard about it was after the Nintendo Direct on 9/23/21. There was absolutely no hype or previews for this game in any gaming news whatsoever. I threw caution to the wind, and boy am I glad that I did. They did a wonderful job of preserving the nonchalant two styles of gameplay that consist of the action and strategy portions. It is by no means a difficult or complex game, but what it does have- what it always had- is a lot of charm. I truly appreciate the art in the cutscenes that elaborates on the text-based story portions. I really like the ways in which the gameplay has been expanded: horde invasions occur every once in a while and demand that you fortify your city with tower defenses. It is still very basic combat compared to many other strategy sims we have these days, but again, that is the charm of it. It isn't punishing to the level that the player becomes frustrated. The only small gripe that I have with the strategy portion is that there is a lot of dialogue. Every time I am about to use a miracle or upgrade a fortress, the action seems to pause and take me to the temple because they have something to tell me-- but it is a minor issue. The text could have been streamlined a bit, but it DOES serve to help flesh out the original's bare-bones story a bit more. Now the action sequences-- at first, the 3D style is a bit jarring. When you are so used to the old-school charming graphics of the 1990s classic, that is bound to be the case. The hero has a light trail that follows him (a la Alucard in SOTN) and feels a little floaty comparatively, but let's be honest... he controls a LOT better than the very stiff hero in the original. There was never a time that I was pissed because it was hard to hit an enemy. There are more attacks now. You can do an uppercut-style slice, forward 3 hit, ground pound, and magic can be changed on the fly. In the original, you had to choose your magic before you started and were bound to that for the entire level. Also, the levels have been tweaked so that they are not as punishing either. If you fall into the water you don't die, but you do take damage. There is a LOT of new content on display here, including heroes in each region that help defend your civilization. Altogether, I was very pleasantly surprised by this unannounced gem of a title. The team that put it together should be very proud. They did a wonderful service to Actraiser 1990 and added a large amount of new content that not only fits the game but adds a depth to it that I never knew it could have. I am only at the third region in the game (6 hours in maybe?) but I am loving it so far.",Sandrick,"Sep 24, 2021",ActRaiser Renaissance,Switch
603,9,"Actraiser Renaissance is essentially a remastered version of the so called cult classic. I played the original but never completed it, but its unique combination of platforming and world building got me hooked from the get go. This remastered version came as a surprise and a highlight for me in the latest Nintendo Direct.  I couldn't stop playing it, it's that good. They also got Yuzo Koshiro back to remaster and create a new soundtrack for this game, wow...   A great purchase and with this version, essentially one of the best games on the Switch outside Nintendo's usual outings.",dharma,"Sep 25, 2021",ActRaiser Renaissance,Switch
604,9,"This is a fantastic budget remake but with lot of heart and care, very oldschool but with modern Quality life improvements il list some of the pros, cons and Mixed:Pros: Combat has been expanded and improvedThe Sim town builder mode is even better and more involved, has a tower defense mini game intergraded.Expanded story and LoreFantastic Music Great Artstyle Mixed:The master looks diffrent and more anime? i think he looks awesome but some people might not like it.2d combat graphics are a bit jarrin and look like HD ps1/Saturn styleSound effects lack oomph compared to the Snes version{his iconic grunt was removed :( }Cons:Switch version has a bit of frame rate issues specially on handheldmode nothing awful but it can be noticable for people sensitive to  this, on ps4 and steam this does not to be a issue.",Ony1,"Sep 25, 2021",ActRaiser Renaissance,Switch
605,5,"Actraiser Renaissance is probably the purest example of a remake completely failing to understand what made the original great and ruining the gameplay experience. I should note that I adore the original Actraiser. It is absolutely a Top 10 SNES game for me. Quintet made some of my favorite games back in the day, including Soul Blazer. So I literally bought this without looking at the product description, so certain it would scratch an itch I have felt for years. Is the original Actraiser here? Yes! You can play the same platformer game which is generally as enjoyable as the original. The artwork is *significantly* worse when compared with Quintet's original sprite work, but the orchestrated music is beautiful. Unfortunately, the music ends up being the only good addition to the entire package. You also can play the same sim game. Your little angel flies around, killing monsters who try to do the villagers harm. You tell villagers where to build and to destroy lairs. You shape the landscape to make it more livable for each town. Yes! Actraiser is here. But it's buried under layers of new content. Somehow, Square Enix took a classic, wonderful game, and with every new addition (other than the already noted great music arrangements), they managed to make it worse. The most obvious and annoying of these is their terrible tower defense sections. I should note that I do not love tower defense games, but slapping it into the sim-portion of a game not built for it feels very sloppy. Make no mistake: if you complete this game, you will spend more time in tower defense than you will in platforming. By the time I hit Bloodpool, every time tower defense came up, I sighed, rolled my eyes, and resigned myself to my fate. There's also a new quest system to finish for each town. The quest system is made up of a few primary types of play. About a third to a half of them revolve around the awful tower defense. There are quests to take out the monster lairs (more on this in a few). And there are tasks that revolve around improving the towns. The quest system is bogged down in things just not working properly. For example, one quest might be to get a town to a certain population level. But when you do that, you can't turn in the quest right away. You usually have to wait for a day cycle to complete. For some quests to complete or show up, I had to leave the town completely and then come back. I mean, sure, the quests keep you on track, but there shouldn't be much to keep track of in this game: kill the bad guys, make the town big. Done. Regarding monster lairs, you can't just kill them whenever you have access to them. You have to wait for a quest to show up to let you kill the monster lairs. And then when you do want to kill them, you have to fly down into a tiny room and kill things inside of it with platforming gameplay. This sounds cool, more gameplay!, but the rooms are poorly executed. Most are just monster closets with tons of monsters that disappear as soon as you beat the big baddie, so you just attack/magic spam the baddie until dead. They're boring. Also in the quests, when you are trying to 100% the game, each town has two quests to go back into the main platforming levels to kill a certain number of enemies of a certain type. But here's the problem: none of the monsters you killed in your original playthrough counted, and you have to go back into each level *at least* two more times to find enough monsters to kill. Why? Why am I just redoing levels I already beat for a quest that doesn't matter? Square Enix really wanted to frustrate you to death here. One other thing that bugs me in the changed gameplay...magic is now done by MP instead of a certain number of casts each time. Additional MP is earned by finding statues within each platforming level that, for the most part, are very simply placed. Plus, you take all your magic types into each level with you and can change them. These two changes made most late game levels absurdly easy. There's so much magic and MP to be had that you can basically spam it whenever you want throughout each level and have plenty for the bosses. There's a new, convoluted story involving ""champions"" that emerge out of each city. The stories are nonsensical, and the characters are uninteresting. Instead of focusing on my villagers as a whole, now we're supposed to be focused on these elevated humans. Why is my angel wasting so much time talking to these people? Yelling at them? There's one other new thing that I'll decline to include here since it's a bit of a spoiler, but it involves almost entirely playing a bunch of awful tower defense, so just trust me when I say it sucks. I'm sorry, SE. I wanted to love this. I hope you do Soul Blazer, but I hope you let it keep its soul rather than whatever you thought you were doing here. Don't add, just upgrade.",BlueMikey,"Sep 27, 2021",ActRaiser Renaissance,Switch
606,5,Lots of problems with this one. This is mobile quality video game at the price of $30. The art style is a mess and looks like it was made by 5 people who didn’t communicate with each other. The side scrolling action felt like a budget version of Castlevania SoTN with overly stiff controls. The level design was as about uninteresting as it gets. Meanwhile the over-world experience suffers from some significant size and zooming issues that impede the player ability to understand what the heck is going on - particularly during tower defense segmentsI like the general concept and the IP. But we should expect better execution than this.,Inkdagger,"Sep 30, 2021",ActRaiser Renaissance,Switch
607,5,Loved the original which I played to death but this remake just doesn't have the quality feel of that... Especially the action section which just don't have the weight & feel of the original... Pretty disappointed,Stevie-e,"Oct  1, 2021",ActRaiser Renaissance,Switch
